pair,period,signal,date
SPX,daily,Strong Sell,2022-03-10 12:54:00-08:00
SPX,weekly,Strong Sell,2022-03-10 12:54:00-08:00
DJA,daily,Strong Sell,2022-03-10 12:54:00-08:00
DJA,weekly,Strong Sell,2022-03-10 12:54:00-08:00
SPX,daily,Strong Sell,2022-03-11 12:54:00-08:00
SPX,weekly,Strong Sell,2022-03-11 12:54:00-08:00
DJA,daily,Strong Sell,2022-03-11 12:54:00-08:00
DJA,weekly,Strong Sell,2022-03-11 12:54:00-08:00
SPX,daily,Strong Sell,2022-03-14 13:54:00-07:00
SPX,weekly,Strong Sell,2022-03-14 13:54:00-07:00
DJA,daily,Strong Sell,2022-03-14 13:54:00-07:00
DJA,weekly,Strong Sell,2022-03-14 13:54:00-07:00
SPX,daily,Strong Sell,2022-03-15 13:54:00-07:00
SPX,weekly,Strong Sell,2022-03-15 13:54:00-07:00
DJA,daily,Sell,2022-03-15 13:54:00-07:00
DJA,weekly,Strong Sell,2022-03-15 13:54:00-07:00
SPX,daily,Strong Buy,2022-03-17 13:54:00-07:00
SPX,weekly,Neutral,2022-03-17 13:54:00-07:00
DJA,daily,Strong Buy,2022-03-17 13:54:00-07:00
DJA,weekly,Neutral,2022-03-17 13:54:00-07:00
